x_Timestamp,t_kWh
2021-01-01 00:00:00,5.393
2021-01-01 01:00:00,4.623
2021-01-01 02:00:00,4.189
2021-01-01 03:00:00,4.234
2021-01-01 04:00:00,4.56
2021-01-01 05:00:00,4.633
2021-01-01 06:00:00,4.291
2021-01-01 07:00:00,5.787
2021-01-01 08:00:00,11.787
2021-01-01 09:00:00,20.835
2021-01-01 10:00:00,22.353
2021-01-01 11:00:00,19.076
2021-01-01 12:00:00,16.117
2021-01-01 13:00:00,15.426
2021-01-01 14:00:00,15.359
2021-01-01 15:00:00,9.234
2021-01-01 16:00:00,9.464
2021-01-01 17:00:00,12.502
2021-01-01 18:00:00,11.253
2021-01-01 19:00:00,14.575
2021-01-01 20:00:00,14.611
2021-01-01 21:00:00,13.406
2021-01-01 22:00:00,11.169
2021-01-01 23:00:00,6.901
2021-01-02 00:00:00,4.425
2021-01-02 01:00:00,3.968
2021-01-02 02:00:00,3.459
2021-01-02 03:00:00,2.488
2021-01-02 04:00:00,2.165
2021-01-02 05:00:00,2.9619999999999997
2021-01-02 06:00:00,3.871
2021-01-02 07:00:00,6.934
2021-01-02 08:00:00,11.676
2021-01-02 09:00:00,13.188
2021-01-02 10:00:00,15.043000000000001
2021-01-02 11:00:00,16.667
2021-01-02 12:00:00,12.757
2021-01-02 13:00:00,11.695
2021-01-02 14:00:00,13.649000000000001
2021-01-02 15:00:00,9.026
2021-01-02 16:00:00,9.121
2021-01-02 17:00:00,8.395
2021-01-02 18:00:00,12.355
2021-01-02 19:00:00,16.862000000000002
2021-01-02 20:00:00,16.357
2021-01-02 21:00:00,14.134
2021-01-02 22:00:00,12.057
2021-01-02 23:00:00,9.183
2021-01-03 00:00:00,3.804
2021-01-03 01:00:00,2.151
2021-01-03 02:00:00,1.908
2021-01-03 03:00:00,1.793
2021-01-03 04:00:00,1.809
2021-01-03 05:00:00,2.165
2021-01-03 06:00:00,2.688
2021-01-03 07:00:00,3.11
2021-01-03 08:00:00,4.833
2021-01-03 09:00:00,7.775
2021-01-03 10:00:00,9.828
2021-01-03 11:00:00,15.696
2021-01-03 12:00:00,15.964
2021-01-03 13:00:00,14.024000000000001
2021-01-03 14:00:00,13.902000000000001
2021-01-03 15:00:00,7.143
2021-01-03 16:00:00,6.7780000000000005
2021-01-03 17:00:00,5.9
2021-01-03 18:00:00,9.541
2021-01-03 19:00:00,9.743
2021-01-03 20:00:00,10.331
2021-01-03 21:00:00,8.916
2021-01-03 22:00:00,9.476
2021-01-03 23:00:00,7.361
2021-01-04 00:00:00,6.534
2021-01-04 01:00:00,4.255
2021-01-04 02:00:00,4.461
2021-01-04 03:00:00,4.149
2021-01-04 04:00:00,3.849
2021-01-04 05:00:00,3.904
2021-01-04 06:00:00,2.8770000000000002
2021-01-04 07:00:00,3.558
2021-01-04 08:00:00,9.171
2021-01-04 09:00:00,13.774
2021-01-04 10:00:00,8.763
2021-01-04 11:00:00,6.3
2021-01-04 12:00:00,9.139
2021-01-04 13:00:00,8.823
2021-01-04 14:00:00,10.986
2021-01-04 15:00:00,7.498
2021-01-04 16:00:00,5.4190000000000005
2021-01-04 17:00:00,6.63
2021-01-04 18:00:00,10.846
2021-01-04 19:00:00,11.552
2021-01-04 20:00:00,11.009
2021-01-04 21:00:00,13.146
2021-01-04 22:00:00,9.939
2021-01-04 23:00:00,5.108
2021-01-05 00:00:00,3.953
2021-01-05 01:00:00,4.498
2021-01-05 02:00:00,3.411
2021-01-05 03:00:00,3.431
2021-01-05 04:00:00,4.194
2021-01-05 05:00:00,3.512
2021-01-05 06:00:00,5.008
2021-01-05 07:00:00,7.3709999999999996
2021-01-05 08:00:00,7.305
2021-01-05 09:00:00,8.366
2021-01-05 10:00:00,14.73
2021-01-05 11:00:00,9.137
2021-01-05 12:00:00,7.7909999999999995
2021-01-05 13:00:00,8.737
2021-01-05 14:00:00,9.054
2021-01-05 15:00:00,6.957
2021-01-05 16:00:00,6.049
2021-01-05 17:00:00,8.215
2021-01-05 18:00:00,7.058
2021-01-05 19:00:00,11.414
2021-01-05 20:00:00,10.14
2021-01-05 21:00:00,8.293
2021-01-05 22:00:00,7.797
2021-01-05 23:00:00,5.283
2021-01-06 00:00:00,5.0200000000000005
2021-01-06 01:00:00,3.376
2021-01-06 02:00:00,3.251
2021-01-06 03:00:00,2.533
2021-01-06 04:00:00,2.758
2021-01-06 05:00:00,2.587
2021-01-06 06:00:00,4.168
2021-01-06 07:00:00,4.284
2021-01-06 08:00:00,8.924
2021-01-06 09:00:00,10.627
2021-01-06 10:00:00,11.062
2021-01-06 11:00:00,11.581
2021-01-06 12:00:00,9.215
2021-01-06 13:00:00,9.613
2021-01-06 14:00:00,9.092
2021-01-06 15:00:00,4.807
2021-01-06 16:00:00,5.849
2021-01-06 17:00:00,7.549
2021-01-06 18:00:00,7.785
2021-01-06 19:00:00,12.938
2021-01-06 20:00:00,11.812
2021-01-06 21:00:00,10.5
2021-01-06 22:00:00,9.98
2021-01-06 23:00:00,6.683
2021-01-07 00:00:00,4.128
2021-01-07 01:00:00,3.299
2021-01-07 02:00:00,2.396
2021-01-07 03:00:00,2.259
2021-01-07 04:00:00,2.271
2021-01-07 05:00:00,2.188
2021-01-07 06:00:00,1.6420000000000001
2021-01-07 07:00:00,7.131
2021-01-07 08:00:00,9.588
2021-01-07 09:00:00,12.648
2021-01-07 10:00:00,12.166
2021-01-07 11:00:00,9.432
2021-01-07 12:00:00,5.798
2021-01-07 13:00:00,7.623
2021-01-07 14:00:00,4.569
2021-01-07 15:00:00,3.769
2021-01-07 16:00:00,6.376
2021-01-07 17:00:00,4.368
2021-01-07 18:00:00,6.22
2021-01-07 19:00:00,10.17
2021-01-07 20:00:00,9.498
2021-01-07 21:00:00,8.582
2021-01-07 22:00:00,7.228
2021-01-07 23:00:00,5.618
2021-01-08 00:00:00,4.528
2021-01-08 01:00:00,3.321
2021-01-08 02:00:00,2.686
2021-01-08 03:00:00,2.572
2021-01-08 04:00:00,2.458
2021-01-08 05:00:00,3.48
2021-01-08 06:00:00,3.603
2021-01-08 07:00:00,8.06
2021-01-08 08:00:00,13.488
2021-01-08 09:00:00,14.411
2021-01-08 10:00:00,12.151
2021-01-08 11:00:00,12.455
2021-01-08 12:00:00,12.154
2021-01-08 13:00:00,12.232
2021-01-08 14:00:00,11.198
2021-01-08 15:00:00,9.026
2021-01-08 16:00:00,6.925
2021-01-08 17:00:00,8.616
2021-01-08 18:00:00,8.533
2021-01-08 19:00:00,11.068
2021-01-08 20:00:00,14.767
2021-01-08 21:00:00,13.27
2021-01-08 22:00:00,10.097
2021-01-08 23:00:00,7.442
2021-01-09 00:00:00,4.631
2021-01-09 01:00:00,3.751
2021-01-09 02:00:00,3.5
2021-01-09 03:00:00,3.371
2021-01-09 04:00:00,4.8870000000000005
2021-01-09 05:00:00,4.396
2021-01-09 06:00:00,3.335
2021-01-09 07:00:00,5.517
2021-01-09 08:00:00,9.525
2021-01-09 09:00:00,11.864
2021-01-09 10:00:00,11.521
2021-01-09 11:00:00,10.67
2021-01-09 12:00:00,9.331
2021-01-09 13:00:00,8.674
2021-01-09 14:00:00,7.102
2021-01-09 15:00:00,4.482
2021-01-09 16:00:00,5.311
2021-01-09 17:00:00,5.968
2021-01-09 18:00:00,7.286
2021-01-09 19:00:00,11.52
2021-01-09 20:00:00,11.604
2021-01-09 21:00:00,8.409
2021-01-09 22:00:00,7.913
2021-01-09 23:00:00,8.659
2021-01-10 00:00:00,8.328
2021-01-10 01:00:00,7.7749999999999995
2021-01-10 02:00:00,7.056
2021-01-10 03:00:00,6.932
2021-01-10 04:00:00,6.75
2021-01-10 05:00:00,6.766
2021-01-10 06:00:00,6.54
2021-01-10 07:00:00,5.056
2021-01-10 08:00:00,11.341
2021-01-10 09:00:00,16.565
2021-01-10 10:00:00,12.389
2021-01-10 11:00:00,9.838
2021-01-10 12:00:00,9.892
2021-01-10 13:00:00,10.794
2021-01-10 14:00:00,8.3
2021-01-10 15:00:00,8.625
2021-01-10 16:00:00,6.627
2021-01-10 17:00:00,5.501
2021-01-10 18:00:00,8.437
2021-01-10 19:00:00,11.658
2021-01-10 20:00:00,13.64
2021-01-10 21:00:00,12.372
2021-01-10 22:00:00,10.844
2021-01-10 23:00:00,9.251
2021-01-11 00:00:00,7.7
2021-01-11 01:00:00,8.032
2021-01-11 02:00:00,7.49
2021-01-11 03:00:00,7.915
2021-01-11 04:00:00,7.513
2021-01-11 05:00:00,8.454
2021-01-11 06:00:00,9.187
2021-01-11 07:00:00,8.514
2021-01-11 08:00:00,12.69
2021-01-11 09:00:00,19.095
2021-01-11 10:00:00,18.623
2021-01-11 11:00:00,12.986
2021-01-11 12:00:00,9.834
2021-01-11 13:00:00,11.492
2021-01-11 14:00:00,13.781
2021-01-11 15:00:00,12.872
2021-01-11 16:00:00,10.702
2021-01-11 17:00:00,11.665000000000001
2021-01-11 18:00:00,10.768
2021-01-11 19:00:00,16.418
2021-01-11 20:00:00,15.558
2021-01-11 21:00:00,17.125
2021-01-11 22:00:00,10.954
2021-01-11 23:00:00,10.265
2021-01-12 00:00:00,7.4399999999999995
2021-01-12 01:00:00,6.924
2021-01-12 02:00:00,7.124
2021-01-12 03:00:00,7.6290000000000004
2021-01-12 04:00:00,7.535
2021-01-12 05:00:00,6.824
2021-01-12 06:00:00,7.317
2021-01-12 07:00:00,10.49
2021-01-12 08:00:00,18.461
2021-01-12 09:00:00,17.223
2021-01-12 10:00:00,15.94
2021-01-12 11:00:00,11.012
2021-01-12 12:00:00,9.329
2021-01-12 13:00:00,9.79
2021-01-12 14:00:00,10.496
2021-01-12 15:00:00,11.442
2021-01-12 16:00:00,9.068999999999999
2021-01-12 17:00:00,9.303
2021-01-12 18:00:00,12.422
2021-01-12 19:00:00,16.114
2021-01-12 20:00:00,15.434
2021-01-12 21:00:00,13.972
2021-01-12 22:00:00,12.057
2021-01-12 23:00:00,10.714
2021-01-13 00:00:00,8.399
2021-01-13 01:00:00,7.623
