===== HOURLY SIMULATION RESULTS =====

  load  solar_available  solar_used  battery_charge  battery_discharge  curtailed_solar      grid  soc
 3.431         0.050142    0.050142               0               0.00                0  3.380858 20.0
 4.194         0.080028    0.080028               0               0.00                0  4.113972 20.0
 3.512         0.101995    0.101995               0               0.00                0  3.410005 20.0
 5.008         0.095550    0.095550               0               0.00                0  4.912450 20.0
 7.371         0.119483    0.119483               0               0.00                0  7.251517 20.0
 7.305         0.113625    0.113625               0               0.00                0  7.191375 20.0
 8.366         0.079834    0.079834               0               0.00                0  8.286166 20.0
14.730         0.043122    0.043122               0               0.00                0 14.686878 20.0
 9.137         0.010066    0.010066               0               0.00                0  9.126934 20.0
 7.791         0.000000    0.000000               0               0.00                0  7.791000 20.0
 8.737         0.000000    0.000000               0               0.00                0  8.737000 20.0
 9.054         0.000000    0.000000               0               0.00                0  9.054000 20.0
 6.957         0.000000    0.000000               0               0.00                0  6.957000 20.0
 6.049         0.000000    0.000000               0               0.00                0  6.049000 20.0
 8.215         0.000000    0.000000               0               0.00                0  8.215000 20.0
 7.058         0.000000    0.000000               0               0.00                0  7.058000 20.0
11.414         0.000000    0.000000               0               0.00                0 11.414000 20.0
10.140         0.000000    0.000000               0               0.00                0 10.140000 20.0
 8.293         0.000000    0.000000               0               0.00                0  8.293000 20.0
 7.797         0.000000    0.000000               0               0.00                0  7.797000 20.0
 5.283         0.000000    0.000000               0               0.00                0  5.283000 20.0
 5.020         0.000000    0.000000               0               0.00                0  5.020000 20.0
 3.376         0.001045    0.001045               0               0.00                0  3.374955 20.0
 3.251         0.014507    0.014507               0               0.00                0  3.236493 20.0
 2.533         0.040284    0.040284               0               0.00                0  2.492716 20.0
 2.758         0.063772    0.063772               0               0.00                0  2.694228 20.0
 2.587         0.087437    0.087437               0               0.00                0  2.499563 20.0
 4.168         0.079812    0.079812               0               0.00                0  4.088188 20.0
 4.284         0.070986    0.070986               0               0.00                0  4.213014 20.0
 8.924         0.098215    0.098215               0               0.00                0  8.825785 20.0
10.627         0.073181    0.073181               0               0.00                0 10.553819 20.0
11.062         0.038461    0.038461               0               0.00                0 11.023539 20.0
11.581         0.007690    0.007690               0               0.00                0 11.573310 20.0
 9.215         0.000000    0.000000               0               0.00                0  9.215000 20.0
 9.613         0.000000    0.000000               0               0.00                0  9.613000 20.0
 9.092         0.000000    0.000000               0               0.00                0  9.092000 20.0
 4.807         0.000000    0.000000               0               0.00                0  4.807000 20.0
 5.849         0.000000    0.000000               0               0.00                0  5.849000 20.0
 7.549         0.000000    0.000000               0               0.00                0  7.549000 20.0
 7.785         0.000000    0.000000               0               0.00                0  7.785000 20.0
12.938         0.000000    0.000000               0               0.00                0 12.938000 20.0
11.812         0.000000    0.000000               0               0.00                0 11.812000 20.0
10.500         0.000000    0.000000               0               0.00                0 10.500000 20.0
 9.980         0.000000    0.000000               0               0.00                0  9.980000 20.0
 6.683         0.000000    0.000000               0               0.00                0  6.683000 20.0
 4.128         0.000000    0.000000               0               0.00                0  4.128000 20.0
 3.299         0.000791    0.000791               0               0.00                0  3.298209 20.0
 2.396         0.010994    0.010994               0               0.00                0  2.385006 20.0
 2.259         0.025337    0.025337               0               0.00                0  2.233663 20.0
 2.271         0.038094    0.038094               0               0.00                0  2.232906 20.0
 2.188         0.048233    0.048233               0               0.00                0  2.139767 20.0
 1.642         0.033601    0.033601               0               0.00                0  1.608399 20.0
 7.131         0.045619    0.045619               0               0.00                0  7.085381 20.0
 9.588         0.044077    0.044077               0               0.00                0  9.543923 20.0
12.648         0.033523    0.033523               0               0.00                0 12.614477 20.0
12.166         0.020269    0.020269               0               0.00                0 12.145731 20.0
 9.432         0.004061    0.004061               0               0.00                0  9.427939 20.0
 5.798         0.000000    0.000000               0               0.00                0  5.798000 20.0
 7.623         0.000000    0.000000               0               0.00                0  7.623000 20.0
 4.569         0.000000    0.000000               0               0.00                0  4.569000 20.0
 3.769         0.000000    0.000000               0               0.00                0  3.769000 20.0
 6.376         0.000000    0.000000               0               0.00                0  6.376000 20.0
